,valence,year,acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo
139452,0.502,2013,0.935,['Gregory Alan Isakov'],0.521,236653,0.44,0,6qfg00bGlM1dQJwq08lZGi,0.0029,0,0.127,-10.311,1,Suitcase Full of Sparks,50,2013-07-09,0.0304,93.404
74588,0.265,2017,0.0204,"['Selena Gomez', 'Gucci Mane']",0.708,186113,0.618,0,4lnAN2S1fcI0SjxEbksZVr,6.81e-06,2,0.062,-4.424,1,Fetish (feat. Gucci Mane),70,2017-07-13,0.0592,123.013
99427,0.7140000000000001,1973,0.00739,['Alice Cooper'],0.468,223600,0.6629999999999999,0,2TemAtZgdlnleL4HOCkza8,0.0352,9,0.124,-11.714,0,Billion Dollar Babies,32,1973,0.0634,90.714
97537,0.843,1964,0.4370000000000001,['Chuck Berry'],0.454,178107,0.921,0,4thIUA9RxwUcsjiUVo33Lt,0.0,0,0.259,-9.197,1,Go Bobby Soxer,27,1964-11-01,0.0682,165.166
85309,0.531,1984,1.65e-06,['Bathory'],0.199,164093,0.885,0,0Kx4Z8GafKxirNDtFapzEA,0.908,2,0.405,-7.508999999999999,1,Reaper,36,1984-01-01,0.0816,87.90100000000002
126611,0.79,1949,0.995,['Premlata Nayak'],0.6859999999999999,186921,0.153,0,2hG8w8XSWihglI4nvMqYaI,0.0488,9,0.3229999999999999,-9.539,1,Pardeshiyare Preet Lagavi Jato Na,0,1949-10-10,0.196,177.297
144107,0.28,1960,0.957,['Ben Webster'],0.356,182907,0.0844,0,0f0t66bbwRQ65J8SQaTtKk,0.769,5,0.274,-15.713,1,Stella by Starlight,11,1960-01-01,0.0347,104.175
157072,0.397,1952,0.989,['Sonny Terry'],0.52,236840,0.0511,0,2xqxQ575dsFvjhfBj2u3tr,0.000148,4,0.273,-17.271,1,Bad Luck Blues,1,1952-01-01,0.0712,84.87
112049,0.177,1956,0.959,['Mahalia Jackson'],0.504,286860,0.149,0,06yAlw6WU3B6UC1WE7fOvU,0.000225,5,0.103,-13.549,0,Trouble of the World,10,1956,0.0392,119.737
157886,0.78,1956,0.68,['Jerry Lewis'],0.578,136933,0.32,0,0dEJjaVaH6wKPQmWvxo8UE,0.0,3,0.0274,-9.634,1,Shine On Your Shoes,3,1956-01-01,0.04,142.578
82577,0.759,1971,0.217,['Jethro Tull'],0.5670000000000001,166333,0.626,0,2uDINz5D5dJpb6iQnd0IYM,0.0,5,0.423,-13.587,1,Lick Your Fingers Clean,34,1971-03-19,0.0419,134.77700000000002
45849,0.241,1963,0.918,"['John Coltrane', 'Johnny Hartman']",0.475,336240,0.0869,0,6nyZT9byhcDJZ3y0qWRHvv,0.16,10,0.0918,-20.804,1,You Are Too Beautiful,26,1963,0.0395,60.081
17318,0.375,2008,0.402,['V.I.C.'],0.855,321987,0.746,1,6JLcz9UGiVxAmEZXlCucn5,0.0,3,0.146,-3.777,0,Wobble,62,2008,0.232,95.026
38568,0.713,2020,0.272,['Popp Hunna'],0.913,136224,0.391,1,3aAmQOxRPeKDL0HMWFA5qn,0.0,4,0.0666,-11.158,0,Adderall (Corvette Corvette),79,2020-10-15,0.368,141.05
49923,0.899,1983,0.199,['Anri'],0.75,291427,0.853,0,20JcU4ZiYAuKE4oIal8WoV,3.4899999999999995e-05,11,0.161,-4.624,0,DRIVING MY LOVE,41,1983-12-05,0.0413,121.459
34424,0.508,1999,0.332,"['""Weird Al"" Yankovic']",0.487,328773,0.429,0,74sUbOF9Zm8LdGUJjxleTl,0.0,4,0.207,-8.716000000000001,0,"The Saga Begins (Lyrical Adaption of ""American Pie"")",52,1999-06-29,0.0391,143.582
6086,0.1639999999999999,1952,0.908,['Eddie Fisher'],0.299,210440,0.21,0,05jPJiJu2bc8GdjLfSQTJa,1.2e-06,2,0.119,-12.74,1,That's What Christmas Means To Me,22,1952-07-01,0.0306,100.832
7017,0.937,1957,0.7929999999999999,['Little Richard'],0.555,144227,0.6579999999999999,0,2iXcvnD3d1gfLBum0cE5Eg,0.0,5,0.118,-3.866,1,Tutti Frutti,64,1957-03,0.0541,184.835
5752,0.541,1950,0.982,['Dean Martin'],0.467,133893,0.15,0,5t9CciqUi6H3kFTyFs7L0r,0.000863,3,0.139,-14.612,1,Once In Love With Amy,13,1950,0.0428,117.585
28997,0.486,1972,0.8029999999999999,['Jackson Browne'],0.452,252040,0.494,0,5iGBFRhXqD0cbYaA25UE93,1.1e-05,7,0.187,-10.194,1,Rock Me on the Water,42,1972,0.0279,99.914
37553,0.285,2015,0.928,['Alessia Cara'],0.388,254507,0.3720000000000001,0,5NRl32BO29q8xtWFvOlHZE,0.0,6,0.146,-5.72,1,River Of Tears,64,2015-11-13,0.0468,89.70100000000002
88124,0.602,1999,0.458,"['Dr. Dre', 'Hittman', 'Ms. Roq', 'Eddie Griffin']",0.66,92147,0.868,1,0J2u6TAolef5gZEVy1HErU,0.0,1,0.453,-3.229,1,Ed-Ucation,47,1999-11-16,0.502,168.791
51658,0.32,1992,3.6e-05,['Pantera'],0.338,300373,0.915,1,5gUcLzosEDmiPLDpQUKqTP,0.0983,4,0.309,-9.456,1,Live in a Hole,49,1992-02-21,0.0832,123.522
127567,0.186,1954,0.922,['Marianne Moore'],0.6829999999999999,67811,0.0849,0,0583BAM4jawCTIXZxxxIxI,0.0,11,0.328,-21.437,1,The Fox and the Crow,0,1954,0.8909999999999999,122.169
8641,0.552,1965,0.75,['Vince Guaraldi Trio'],0.488,145640,0.297,0,7hK9jnESeCfc5fIHH76jKh,0.535,0,0.129,-17.101,1,Skating,58,1965,0.0321,65.04
101231,0.8590000000000001,1982,0.521,['Fleetwood Mac'],0.659,226314,0.625,0,0kk7A0C9XbKwgVbb8I5eVL,0.0137,10,0.0928,-9.043,1,Eyes of the World - 2016 Remaster,30,1982-06-18,0.0424,153.188
89121,0.868,2004,0.135,['Ivy Queen'],0.847,173533,0.909,0,2sz2I6oIk9BqC4Ow7KbdGY,5.83e-06,6,0.216,-3.696,0,Quiero Saber,42,2004-01-01,0.0584,95.013
12306,0.588,1983,0.0854,['Men At Work'],0.6459999999999999,229467,0.809,0,3iA4foXIFpekwHyma7pRs1,0.0,1,0.0806,-3.99,0,Overkill,59,1983,0.0282,139.2
143182,0.27,1955,0.958,['Gerry Mulligan'],0.63,323373,0.0665,0,2m8vNmDGz5GCGLxJfWIsJI,0.7709999999999999,5,0.222,-17.453,1,Everything Happens To Me,4,1955-01-01,0.0725,64.16199999999999
108913,0.424,1926,0.964,['Alejandra Zambrini'],0.4970000000000001,196168,0.14,0,7n60Hz6VE79R6TOmXFQ0XV,0.0,2,0.107,-14.384,1,Cantando,0,1926,0.1,81.15100000000002
6599,0.735,1954,0.802,"['Dean Martin', 'Nat King Cole']",0.52,141027,0.352,0,7fiUGuHs9x4uKMznPRSb7o,0.0,3,0.124,-9.064,1,"Long, Long Ago",18,1954,0.0484,145.053
57808,0.7170000000000001,1928,0.675,['Seweryn Goszczyński'],0.715,116900,0.234,0,4Q4HEufFA6Arwm50Zftzp5,0.0,6,0.353,-19.856,0,Chapter 4.11 - Zamek kaniowski,0,1928,0.937,114.172
105126,0.392,2002,0.000254,['Adema'],0.482,249893,0.938,0,4pawqkNZXTbqrYAd0I5Wtb,0.177,6,0.0493,-4.727,1,Immortal,46,2002-10-22,0.0978,102.852
66066,0.335,1975,0.778,['The Miracles'],0.376,291480,0.528,0,4gEPgpyjzXjr0jEbaBNTgZ,0.0003,8,0.156,-6.944,1,City Of Angels,45,1975,0.0277,148.751
93346,0.89,1940,0.963,['ANTONIS NTALGKAS'],0.606,193000,0.478,0,2TVQMLzcgZmOn0QMRaJW7G,0.341,6,0.0637,-8.272,1,Karotseris,0,1940-01-01,0.0588,100.048
152177,0.775,2002,0.00149,['Stevie Ray Vaughan'],0.519,228800,0.841,0,0LFsHodEUTDEvoRlreOaRe,0.00177,10,0.987,-9.142,0,"Shake for Me - Live at Steamboat 1874, Austin, TX - April 1980",40,2002-08-27,0.0362,124.388
